website.url,mainBusinessLine.descriptions
www.primaclean.fi,General cleaning of buildings
www.zme.fi,Show production and management activities
www.hotelalma.fi,Restaurants
www.metsakylanratsastuskeskus.fi,Sports and recreation education
www.tsuumi.com,Performing arts
www.ajjservice.fi,Painting
www.arposuoconsulting.com,Business and other management consultancy activities
www.indiska.com,Retail sale of fabrics
www.taloasema.fi,Operation of dwellings and residential real estate
www.maansiirtoputkinen.com,Site preparation
www.pienvesivoima.fi,Site preparation
www.rettaisannointi.fi,Operation of dwellings and residential real estate
www.q5software.com,Computer programming activities
www.lahex.fi,Operation of dwellings and residential real estate
www.uniqentertainment.fi,Show production and management activities
www.hesburger.fi,CafÚs
www.hesburger.fi,Service station activities
www.kumpuniitty.fi,Residential and professional family care activities for children and young people
www.reveniogroup.fi/,"Manufacture of instruments and appliances for measuring, testing and navigation"
https://reim.fi/toimipisteet/reim-oulu-oy/,Operation of dwellings and residential real estate
www.prismasonic.com,Retail sale of other new goods
www.sk-autosound.fi,Retail sale of motor vehicle parts and accessories (excl. tyres)
www.protect.fi,Private security activities
www.kalakortti.com,Retail sale of sports equipment and bicycles
www.esperi.fi,Letting of dwellings
www.team-isannointi.com,Operation of dwellings and residential real estate
www.peshawar.fi,Restaurants
www.atlas.fi,Business and other management consultancy activities
www.vkkustavissa.fi,Activities of other membership organisations n.e.c.
www.sdimedia.com,"Motion picture, video and television programme post-production activities"
www.jokihydro.fi,Wholesale of other machinery for use in industry
www.tilium.fi,Book-keeping and closing-of-accounts activities
www2.coder.fi,Computer programming activities
www.slowmusicdesign.com,Sound recording and music publishing activities
www.jv-motorsport.fi,Maintenance and repair of motor vehicles (excl. tyres)
www.kutjula.fi,Letting of other real estate
www.printek.fi,Other printing
www.kajon.fi,Taxi operation
www.sarlinsopanen.fi,Architectural activities
www.sponsoft.fi,Computer programming activities
t.hannula&optimo.inet.fi,Retail sale of optical goods
Leivonen.com,Operation of dwellings and residential real estate
www.sentraali.fi,Activities of call centres
www.realiamanagement.fi,Operation of dwellings and residential real estate
www.retta.fi,Operation of dwellings and residential real estate
www.espoonlukitus.fi,Locksmiths and key cutters
www.finnomedical.fi,Manufacture of medical and dental instruments and supplies (excl. dentures)
www.tapiolanlampo.fi,Combined facilities support activities
www.ithanninen.fi,Operation of dwellings and residential real estate
www.fluxio.fi/apua,Operation of dwellings and residential real estate
www.hsi.fi,Operation of dwellings and residential real estate
www.kiinteistotahkola.fi,Letting of other real estate
www.isannat.fi,Management of real estate on a fee or contract basis
www.esteri.com,Manufacture of other special-purpose machinery n.e.c.
www.tapiolanlampo.fi,Operation of dwellings and residential real estate
www.skipa.fi,Operation of dwellings and residential real estate
www.eke-electronics.com,Manufacture of electronic components
www.isannointiverkko.fi,Letting of other real estate
www.braleva.fi,Letting of other real estate
www.labdig.fi,Wholesale of diagnostic instruments and medical and orthopaedic equipment
www.priman.fi,Operation of dwellings and residential real estate
www.perkkaanhuolto.fi,Operation of dwellings and residential real estate
www.linton.fi,"Manufacture of plastic plates, sheets, tubes and profiles"
